,siteID,siteuse,replsite,lon_WGS84,lat_WGS84,stratum,wgt,ip,caty,Join_Count,TARGET_FID,JOIN_FID,COMID,FDATE,Resolution,GNIS_ID,GNIS_NAME,LENGTHKM,REACHCODE,WBAREACOMI,FTYPE,FCODE,StreamLeve,StreamOrde,StreamCalc,FromNode,ToNode,Hydroseq,LevelPathI,Pathlength,TerminalPa,ArbolateSu,Divergence,StartFlag,TerminalFl,DnLevel,UpLevelPat,UpHydroseq,DnLevelPat,DnMinorHyd,DnDrainCou,DnHydroseq,FromMeas,ToMeas,RtnDiv,AreaSqKM,TotDASqKM,DivDASqKM,Tidal,TOTMA,HWNodeSqKM,MAXELEVRAW,MINELEVRAW,MAXELEVSMO,MINELEVSMO,SLOPE,ELEVFIXED,HWTYPE,SLOPELENKM,LakeFract,SurfArea,RAreaHLoad,FCODEDesc,ONOFFNET,PopupTitle,PopupSubti,Shape__Len,OBJECTID_1,PERMIT_BAS,SUM_SHAPE_,BASIN_NAME,M_BASIN_ID,M_BAS_NAME,Shape__Are,Shape__L_1,Shape_Leng,geometry,fcode,stream_order,
1,Site-001,Base,None,-73.47144501,42.31391905,housatonic_river_basin,73359.57135,1.36E-05,1,1,13,67,7709860,7/25/2008,Medium,NA,NA,12.659,1.10001E+12,0,Stream/River,46006,2,1,1,150040000,150040000,150040000,150020000,180.326,150003000,12.869,0,0,0,2,150020000,150052000,150020000,0,1,150033000,0,98.3523,0,30.8376,31.1994,31.1994,0,0.4051,0,0,28129,48085,28129,0.0157643,0,NA,12.659,0,0,0,Perennial,1,Stream/River,Perennial,0.125148781,13,16-01,1540101934,Housetonic,16,housatonic_river_basin,1021094239,326711.4103,0.12514878,c(625968.618762315, 4685762.57022883),46006,1
2,Site-002,Base,None,-73.52683516,41.64082817,housatonic_river_basin,21066.09312,4.75E-05,2,1,198,67,7712868,7/25/2008,Medium,948356,Deuel Hollow Brook,3.387,1.10001E+12,0,Stream/River,46006,3,2,2,150040000,150040000,150015000,150015000,87.22,150003000,12.509,0,0,0,2,150015000,150016000,150009000,0,1,150009000,0,49.7322,0,4.68,16.3971,16.3971,0,0.12181,0,0,9372,14410,9372,0.0148745,0,NA,3.387,0,0,0,Perennial,1,Deuel Hollow Brook,Perennial Stream/River,0.031541357,198,16-01,1540101934,Housetonic,16,housatonic_river_basin,1021094239,326711.4103,0.031541356,c(622689.287256214, 4610947.19237418),46006,2
3,Site-003,Base,None,-73.57830142,41.74755567,housatonic_river_basin,27138.08467,3.68E-05,4,1,23,67,7713584,8/24/2009,Medium,211385,Tenmile River,1.502,1.10001E+12,0,Stream/River,46006,2,5,5,150041000,150040000,150010000,150009000,102.549,150003000,241.058,0,0,0,2,150009000,150010000,150009000,0,1,150010000,0,100,0,1.1862,336.466,336.466,0,0.0391961,0,0,11329,11874,11415,0.00305592,0,NA,1.502,0,0,0,Perennial,1,Tenmile River,Perennial Stream/River,0.01528906,23,16-01,1540101934,Housetonic,16,housatonic_river_basin,1021094239,326711.4103,0.01528906,c(618207.311123854, 4622724.85191841),46006,4
4,Site-004,Base,None,-73.55973043,41.84254094,housatonic_river_basin,17100.71089,5.85E-05,3,1,88,67,7712202,9/6/1999,Medium,NA,NA,1.072,1.10001E+12,0,Stream/River,46006,4,3,3,150040000,150040000,150020000,150016000,117.805,150003000,15.636,0,0,0,4,150016000,150021000,150016000,0,1,150018000,0,81.1415,0,1.1916,15.9462,15.9462,0,0.0476726,0,0,16335,16586,16335,0.00234141,0,NA,1.072,0,0,0,Perennial,1,Stream/River,Perennial,0.011741742,88,16-01,1540101934,Housetonic,16,housatonic_river_basin,1021094239,326711.4103,0.011741741,c(619574.716925757, 4633296.64313248),46006,3
5,Site-005,Base,None,-73.53632445,41.78496972,housatonic_river_basin,27138.08467,3.68E-05,4,1,47,67,7712406,8/24/2009,Medium,211883,Webatuck Creek,1.96,1.10001E+12,0,Stream/River,46006,2,4,4,150040000,150040000,150012000,150009000,110.481,150003000,145.534,0,0,0,2,150009000,150012000,150009000,0,1,150011000,0,100,0,2.7675,207.727,207.727,0,0.0655163,0,0,12556,12904,12753,0.0007704,0,NA,1.96,0,0,0,Perennial,1,Webatuck Creek,Perennial Stream/River,0.020211037,47,16-01,1540101934,Housetonic,16,housatonic_river_basin,1021094239,326711.4103,0.020211039,c(621626.877833629, 4626937.40740163),46006,4
6,Site-006,Base,None,-73.54019241,41.72143654,housatonic_river_basin,73359.57135,1.36E-05,1,1,43,67,7712606,9/6/1999,Medium,NA,NA,3.765,1.10001E+12,0,Stream/River,46006,3,1,1,150064000,150040000,150052000,150052000,96.774,150003000,3.765,0,1,0,2,0,0,150009000,0,1,150009000,0,100,0,5.1651,5.1651,5.1651,0,0.139352,0.2889,34256,10571,34256,10571,0.0655005,0,H,3.616,0,0,0,Perennial,1,Stream/River,Perennial,0.040966648,43,16-01,1540101934,Housetonic,16,housatonic_river_basin,1021094239,326711.4103,0.040966647,c(621425.163027062, 4619877.96617244),46006,1
7,Site-007,Base,None,-73.5825537,41.75148306,housatonic_river_basin,73359.57135,1.36E-05,1,1,124,67,7713586,9/6/1999,Medium,NA,NA,3.608,1.10001E+12,0,Stream/River,46006,3,1,1,150065000,150040000,150052000,150052000,102.549,150003000,3.608,0,1,0,2,0,0,150009000,0,1,150010000,0,100,0,3.4218,3.4218,3.4218,0,0.144148,0.1071,32315,11415,32315,11415,0.0604221,0,H,3.459,0,0,0,Perennial,1,Stream/River,Perennial,0.036747159,124,16-01,1540101934,Housetonic,16,housatonic_river_basin,1021094239,326711.4103,0.036747159,c(617846.562460815, 4623155.06874417),46006,1
8,Site-008,Base,None,-73.56562903,41.83456778,housatonic_river_basin,17100.71089,5.85E-05,3,1,84,67,7712252,9/6/1999,Medium,NA,NA,1.708,1.10001E+12,0,Stream/River,46006,4,3,3,150040000,150040000,150017000,150016000,115.657,150003000,23.78,0,0,0,4,150016000,150018000,150016000,0,1,150016000,0,100,0,1.8972,22.1184,22.1184,0,0.0628177,0,0,14395,15945,14453,0.00873536,0,NA,1.708,0,0,0,Perennial,1,Stream/River,Perennial,0.016165417,84,16-01,1540101934,Housetonic,16,housatonic_river_basin,1021094239,326711.4103,0.016165417,c(619099.775064046, 4632403.18826691),46006,3
9,Site-009,Base,None,-73.51381614,41.84143067,housatonic_river_basin,27138.08467,3.68E-05,4,1,53,67,7712232,8/24/2009,Medium,211883,Webatuck Creek,4.296,1.10001E+12,0,Stream/River,46006,2,4,4,150040000,150040000,150015000,150009000,121.646,150003000,97.975,0,0,0,2,150009000,150015000,150009000,0,1,150014000,0,100,0,4.0059,156.477,156.477,0,0.135644,0,0,13490,14573,13761,0.00189013,0,NA,4.296,0,0,0,Perennial,1,Webatuck Creek,Perennial Stream/River,0.044811513,53,16-01,1540101934,Housetonic,16,housatonic_river_basin,1021094239,326711.4103,0.044811513,c(623388.861624042, 4633238.32513732),46006,4
10,Site-010,Base,None,-73.58724824,41.60906612,housatonic_river_basin,17100.71089,5.85E-05,3,1,159,67,7713726,9/6/1999,Medium,NA,NA,3.17,1.10001E+12,0,Stream/River,46006,4,3,3,150041000,150041000,150018000,150016000,114.149,150003000,28.361,0,0,0,4,150016000,150020000,150016000,0,1,150017000,0,100,0,5.1948,33.7167,33.7167,0,0.144359,0,0,12759,12955,12773,0.00057413,0,NA,3.17,0,0,0,Perennial,1,Stream/River,Perennial,0.031450346,159,16-01,1540101934,Housetonic,16,housatonic_river_basin,1021094239,326711.4103,0.031450348,c(617715.562221492, 4607336.57616473),46006,3
