siteID,siteuse,replsite,longitude,latitude,stratum,wgt,ip,caty,FRAME23_ID,PERM_ID,NHDPLUSID,REACHCODE,GNIS_ID,GNIS_NAME,LENGTH_KM,FTYPE,FCODE,HUC4,STREAM_LEV,STRAH_ORD,STRAH_CAL,MEAN_FLOW,WBPERM_ID,MAINPATH,INNETWORK,VISFILT,BORD_RIV,PSTL_CODE,FRAME23,CNTYNAME,STATECTY,EPA_REG,HUC2,HUC2_NM,HUC8,HUC8_NM,MAJ_BASIN,MAJ_BAS_NM,MIS_BASIN,MIS_BAS_NM,WSAREA_KM,NHD100K,URBN_NRS08,URBN_NRS18,URBN_NRS23,FEOW_ID,US_L4CODE,US_L4NAME,US_L3CODE,US_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,AG_ECO9,AG_ECO9_NM,AG_ECO3,AG_ECO3_NM,OWN_NARS,FS_EW,STRAH_CAT,Shape_Leng,geometry,geometry2,fcode,stream_order
Site-001,Base,None,-78.46746505,42.34159828,None,1058021.222,9.45E-07,None,106580,112352037,2.40004E+13,5.01E+12,NA,NA,1.612371502,460,46003,H0501,4,1,1,0.89509239,NA,0,1,1.00E+05,Not_Border,NY,Exclude_NoFlow,Cattaraugus,F36009,Region_02,H05,Ohio Region,H05010001,Upper Allegheny,H05_06,Ohio-Tennessee Region,H05_06,Ohio-Tennessee Region,1.29279998,NHD100,Non-Urban,Non-Urban,Non-Urban,150,60e,Glaciated Allegheny Hills,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1612.371502,c(214357.358764604, 4693530.09766475),46003,1
Site-002,Base,None,-73.65335285,43.20090414,None,1058021.222,9.45E-07,None,139040,50506373,1.00007E+13,2.02E+12,965576,Snook Kill,1.631961787,558,55800,H0202,2,4,4,50.45408994,50521421,0,1,1.00E+06,Not_Border,NY,Include,Saratoga,F36091,Region_02,H02,Mid-Atlantic Region,H02020003,Hudson-Hoosic,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,88.73239995,NHD100,Non-Urban,Non-Urban,Non-Urban,118,59i,Hudson Valley,59,Northeastern Coastal Zone,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,LS,1631.961787,c(609405.347196308, 4784005.47306436),55800,4
Site-003,Base,None,-75.27322802,43.51797197,None,1058021.222,9.45E-07,None,314078,131799464,6.00006E+13,4.1403E+12,NA,NA,0.129538656,460,46003,H0414,8,1,1,1.49238448,NA,0,1,50000,Not_Border,NY,Include,Oneida,F36065,Region_02,H04,Great Lakes Region,H04140301,Black,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,1.47779998,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,116,58ab,Northern and Western Adirondack Foothills,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,129.5386564,c(477917.612584012, 4818373.57202112),46003,1
Site-004,Base,None,-78.85227428,43.14700253,None,1058021.222,9.45E-07,None,127672,118006625,6.00008E+13,4.2701E+12,943728,Bergholtz Creek,0.792226605,460,46003,H0427,6,3,3,3.50617379,NA,0,1,5.00E+05,Not_Border,NY,Include,Niagara,F36063,Region_02,H04,Great Lakes Region,H04270101,Niagara River,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,8.33800003,NHD100,Non-Urban,Non-Urban,Non-Urban,116,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,LS,792.2266052,c(186741.50112835, 4784346.85468804),46003,3
Site-005,Base,None,-78.64730769,42.02501326,None,1058021.222,9.45E-07,None,294002,112362849,2.40004E+13,5.01E+12,955351,Limestone Brook,0.164840589,460,46006,H0501,4,3,3,13.21905156,NA,0,1,5.00E+05,Not_Border,NY,Include,Cattaraugus,F36009,Region_02,H05,Ohio Region,H05010001,Upper Allegheny,H05_06,Ohio-Tennessee Region,H05_06,Ohio-Tennessee Region,16.96770001,NHD100,Non-Urban,Non-Urban,Non-Urban,150,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,LS,164.8405895,c(198035.534038358, 4658992.26643127),46006,3
Site-006,Base,None,-74.83188252,43.9523969,None,1058021.222,9.45E-07,None,250885,131813932,6.00006E+13,4.1403E+12,969867,Beaver River,1.595271803,558,55800,H0414,7,5,5,125.357664,131841457,0,1,5.00E+06,Not_Border,NY,Include,Hamilton,F36041,Region_02,H04,Great Lakes Region,H04140301,Black,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,147.4206,NHD100,Non-Urban,Non-Urban,Non-Urban,116,58aa,Acid Sensitive Adirondacks,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,RV,1595.271803,c(513489.441780933, 4866599.42707902),55800,4
Site-007,Base,None,-75.33099668,43.05263966,None,1058021.222,9.45E-07,None,142819,53529853,1.00007E+13,2.02E+12,NA,NA,1.51245704,460,46006,H0202,6,2,2,1.434918,NA,0,1,0,Not_Border,NY,Include,Oneida,F36065,Region_02,H02,Mid-Atlantic Region,H02020004,Mohawk,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,2.36240002,NHD100,Non-Urban,Non-Urban,Non-Urban,118,83f,Mohawk Valley,83,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1512.45704,c(473044.03784631, 4766713.52167617),46006,2
Site-008,Base,None,-74.27339406,42.38982221,None,1058021.222,9.45E-07,None,282803,{ae498050-0454-41cf-b8b7-1e25499c4083},1.00007E+13,2.02001E+12,NA,NA,0.844338095,460,46000,H0202,6,1,1,0.23119,NA,0,1,0,Not_Border,NY,Exclude_NoFlow,Schoharie,F36095,Region_02,H02,Mid-Atlantic Region,H02020005,Schoharie,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,0.3971,NHD100,Non-Urban,Non-Urban,Non-Urban,118,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,844.3380949,c(559807.254048944, 4693314.88552832),46000,1
Site-009,Base,None,-76.17976647,42.55779033,None,1058021.222,9.45E-07,None,125853,62625332,1.00006E+13,2.0501E+12,959562,Otter Creek,1.89519305,460,46006,H0205,5,1,1,1.426739,NA,0,1,1.00E+05,Not_Border,NY,Include,Cortland,F36023,Region_02,H02,Mid-Atlantic Region,H02050102,Chenango,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,2.54290006,NHD100,Non-Urban,Non-Urban,Non-Urban,158,60d,Finger Lakes Uplands and Gorges,60,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1895.19305,c(403151.871908323, 4712384.48371737),46006,1
Site-010,Base,None,-75.16495041,44.10244322,None,1058021.222,9.45E-07,None,327390,133090035,6.00003E+13,4.29E+12,NA,NA,1.32436503,460,46003,H0429,10,1,0,0.422489,NA,0,1,50000,Not_Border,NY,Exclude_SideChannel,Lewis,F36049,Region_02,H04,Great Lakes Region,H04290003,Oswegatchie,H04,Great Lakes Region,NMRB,Not Mississippi River Basin,0.6746,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,117,58aa,Acid Sensitive Adirondacks,58,Northeastern Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1324.36503,c(486798.022955924, 4883264.31202901),46003,1
