siteID,siteuse,replsite,longitude,latitude,stratum,wgt,ip,caty,FRAME23_ID,PERM_ID,NHDPLUSID,REACHCODE,GNIS_ID,GNIS_NAME,LENGTH_KM,FTYPE,FCODE,HUC4,STREAM_LEV,STRAH_ORD,STRAH_CAL,MEAN_FLOW,WBPERM_ID,MAINPATH,INNETWORK,VISFILT,BORD_RIV,PSTL_CODE,FRAME23,CNTYNAME,STATECTY,EPA_REG,HUC2,HUC2_NM,HUC8,HUC8_NM,MAJ_BASIN,MAJ_BAS_NM,MIS_BASIN,MIS_BAS_NM,WSAREA_KM,NHD100K,URBN_NRS08,URBN_NRS18,URBN_NRS23,FEOW_ID,US_L4CODE,US_L4NAME,US_L3CODE,US_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,AG_ECO9,AG_ECO9_NM,AG_ECO3,AG_ECO3_NM,OWN_NARS,FS_EW,STRAH_CAT,Shape_Leng,geometry,geometry2,fcode,stream_order
Site-01,Base,None,-71.99396045,41.29617447,Atlantic Coastal Pine Barrens,260390.3236,3.84E-06,4,3181,159518080,1.00E+13,2.03E+12,NA,NA,2.345268021,558,55800,H0203,1,5,5,57.48779313,{efcee92b-2684-452b-879a-df5d7233ab16},0,1,0,Not_Border,NY,Exclude_Estuary,Suffolk,F36103,Region_02,H01,New England Region,H02030203,Long Island Sound,H01,New England Region,NMRB,Not Mississippi River Basin,3818.574498,NHD100,Urban,Non-Urban,Non-Urban,118,84a,Cape Cod/Long Island,84,Atlantic Coastal Pine Barrens,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,8,EASTERN TEMPERATE FORESTS,CPL,Coastal Plains,PLNLOW,Plains and Lowlands,Non Federal,Not_USFS,RV,2345.268021,c(751692.553834362, 4575995.59973214),55800,4
Site-02,Base,None,-73.22471276,40.84050153,Atlantic Coastal Pine Barrens,113920.7666,8.78E-06,2,283174,133270280,1.00E+13,2.03E+12,958957,Northeast Branch,1.366551522,558,55800,H0203,5,2,2,10.81932432,133271783,0,1,0,Not_Border,NY,Exclude_Lake,Suffolk,F36103,Region_02,H02,Mid-Atlantic Region,H02030201,Northern Long Island,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,16.35700001,NHD100,Urban,Urban,Urban,118,84a,Cape Cod/Long Island,84,Atlantic Coastal Pine Barrens,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,8,EASTERN TEMPERATE FORESTS,CPL,Coastal Plains,PLNLOW,Plains and Lowlands,Non Federal,Not_USFS,SS,1366.551522,c(649667.227432458, 4522568.04625299),55800,2
Site-03,Base,None,-73.46936097,40.64719184,Atlantic Coastal Pine Barrens,260390.3236,3.84E-06,3,3492,139721827,1.00E+13,2.03E+12,956652,Massapequa Creek,2.92175372,558,55800,H0203,1,3,3,15.27370235,139727182,0,1,0,Not_Border,NY,Exclude_Estuary,Nassau,F36059,Region_02,H02,Mid-Atlantic Region,H02030202,Southern Long Island,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,22.80770001,NHD100,Urban,Non-Urban,Non-Urban,118,84c,Barrier Islands/Coastal Marshes,84,Atlantic Coastal Pine Barrens,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,8,EASTERN TEMPERATE FORESTS,CPL,Coastal Plains,PLNLOW,Plains and Lowlands,Non Federal,Not_USFS,LS,2921.75372,c(629415.414856375, 4500719.39499139),55800,3
Site-04,Base,None,-74.21343696,40.55889391,Atlantic Coastal Pine Barrens,113920.7666,8.78E-06,2,2036,75602714,1.00E+13,2.03E+12,NA,NA,0.354255904,558,55800,H0203,2,2,2,1.881957,{73AE1E70-5833-438C-B15D-9629409A4087},0,1,0,Not_Border,NY,Exclude_Connector,Richmond,F36085,Region_02,H02,Mid-Atlantic Region,H02030104,Sandy Hook-Staten Island,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,3.56900002,NHD100,Urban,Non-Urban,Urban,118,84d,Inner Coastal Plain,84,Atlantic Coastal Pine Barrens,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,8,EASTERN TEMPERATE FORESTS,CPL,Coastal Plains,PLNLOW,Plains and Lowlands,Non Federal,Not_USFS,SS,354.2559038,c(566590.527835245, 4490089.19714315),55800,2
Site-05,Base,None,-73.23535797,40.71206737,Atlantic Coastal Pine Barrens,113920.7666,8.78E-06,2,2288,139721894,1.00E+13,2.03E+12,960131,Penataquit Creek,1.442944471,558,55800,H0203,2,2,2,3.87309688,139727182,0,1,0,Not_Border,NY,Exclude_Estuary,Suffolk,F36103,Region_02,H02,Mid-Atlantic Region,H02030202,Southern Long Island,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,5.7848,NHD100,Urban,Non-Urban,Non-Urban,118,84c,Barrier Islands/Coastal Marshes,84,Atlantic Coastal Pine Barrens,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,8,EASTERN TEMPERATE FORESTS,CPL,Coastal Plains,PLNLOW,Plains and Lowlands,Non Federal,Not_USFS,SS,1442.944471,c(649056.61838477, 4508292.04807991),55800,2
Site-06,Base,None,-72.68534296,40.84201966,Atlantic Coastal Pine Barrens,602152.6233,1.66E-06,1,16316,139714350,1.00E+13,2.03E+12,965993,Speonk River,1.513256503,460,46006,H0203,2,1,1,1.874651,NA,0,1,0,Not_Border,NY,Include,Suffolk,F36103,Region_02,H02,Mid-Atlantic Region,H02030202,Southern Long Island,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,3.25169998,NHD100,Urban,Urban,Urban,118,84a,Cape Cod/Long Island,84,Atlantic Coastal Pine Barrens,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,8,EASTERN TEMPERATE FORESTS,CPL,Coastal Plains,PLNLOW,Plains and Lowlands,Non Federal,Not_USFS,SS,1513.256503,c(695138.043127494, 4523798.47417253),46006,1
Site-07,Base,None,-73.72968544,43.03110175,Northeastern Coastal Zone,1069431.043,9.35E-07,4,159354,50512899,1.00E+13,2.02E+12,950128,Fish Creek,0.430935791,558,55800,H0202,2,4,4,34.29781553,50522921,0,1,2.00E+06,Not_Border,NY,Exclude_Lake,Saratoga,F36091,Region_02,H02,Mid-Atlantic Region,H02020003,Hudson-Hoosic,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,65.4359999,NHD100,Non-Urban,Non-Urban,Non-Urban,118,59i,Hudson Valley,59,Northeastern Coastal Zone,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,LS,430.9357913,c(603489.604400684, 4765051.54139355),55800,4
Site-08,Base,None,-73.58015913,43.23879151,Northeastern Coastal Zone,2762696.86,3.62E-07,1,122475,50505067,1.00E+13,2.02E+12,944136,Black House Creek,1.157896053,460,46006,H0202,2,1,1,0.415085,NA,0,1,50000,Not_Border,NY,Exclude_NoFlow,Washington,F36115,Region_02,H02,Mid-Atlantic Region,H02020003,Hudson-Hoosic,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,1.06859998,Not_NHD100,Non-Urban,Non-Urban,Non-Urban,118,59i,Hudson Valley,59,Northeastern Coastal Zone,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,1157.896053,c(615280.467394707, 4788311.34208722),46006,1
Site-09,Base,None,-73.56476057,41.1855658,Northeastern Coastal Zone,1158550.296,8.63E-07,2,51549,122236539,1.00E+13,1.10E+12,NA,NA,0.117115655,460,46006,H0110,5,2,2,3.09257411,NA,0,1,250000,Not_Border,NY,Include,Westchester,F36119,Region_02,H01,New England Region,H01100006,Saugatuck,H01,New England Region,NMRB,Not Mississippi River Basin,3.9258,NHD100,Non-Urban,Non-Urban,Non-Urban,118,59c,Southern New England Coastal Plains and Hills,59,Northeastern Coastal Zone,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,SS,117.1156549,c(620368.360676901, 4560349.82016874),46006,2
Site-10,Base,None,-73.64543917,41.22054283,Northeastern Coastal Zone,1069431.043,9.35E-07,4,30550,55492261,1.00E+13,2.03E+12,970664,Stone Hill River,0.233509195,558,55800,H0203,4,5,5,16.57928131,{ba1bb209-d5a5-4ab0-8e72-2114833089b7},0,1,0,Not_Border,NY,Include,Westchester,F36119,Region_02,H02,Mid-Atlantic Region,H02030101,Lower Hudson,H02,Mid-Atlantic Region,NMRB,Not Mississippi River Basin,21.68339998,NHD100,Non-Urban,Non-Urban,Non-Urban,118,59c,Southern New England Coastal Plains and Hills,59,Northeastern Coastal Zone,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,NAP,Northern Appalachians,EHIGH,Eastern Highlands,Non Federal,Not_USFS,RV,233.5091948,c(613541.478762433, 4564124.38739699),55800,4
